city id,city name,15-Nov,16-Nov,17-Nov,18-Nov
1,City of Agoura Hills ,110.7142857,115.6428571,120.5714286,125.5
2,City of Alhambra ,152.7142857,161.9285714,171.1428571,180.3571429
3,City of Arcadia ,71,69.60714286,68.21428571,66.82142857
4,City of Artesia ,268.8571429,286.4642857,304.0714286,321.6785714
5,City of Avalon ,0,0,0,0
6,City of Azusa ,409.1428571,443,476.8571429,510.7142857
7,City of Baldwin Park ,401,424.2142857,447.4285714,470.6428571
8,City of Bell ,377.5714286,389.9285714,402.2857143,414.6428571
9,City of Bell Gardens ,348.8571429,356.1785714,363.5,370.8214286
10,City of Bellflower ,268.4285714,276,283.5714286,291.1428571
11,City of Beverly Hills ,220.5714286,228.9285714,237.2857143,245.6428571
12,City of Bradbury ,213.8571429,223.9285714,234,244.0714286
13,City of Burbank ,247.7142857,259.2142857,270.7142857,282.2142857
14,City of Calabasas ,127.8571429,127.2857143,126.7142857,126.1428571
15,City of Carson ,177.8571429,184.5,191.1428571,197.7857143
16,City of Cerritos ,113.4285714,118.7857143,124.1428571,129.5
17,City of Claremont ,184.8571429,195.6785714,206.5,217.3214286
18,City of Commerce* ,518.2857143,534.1428571,550,565.8571429
19,City of Compton ,353.4285714,367.4642857,381.5,395.5357143
20,City of Covina ,332.5714286,346.6071429,360.6428571,374.6785714
21,City of Cudahy ,569.2857143,596.3214286,623.3571429,650.3928571
22,City of Culver City ,159.7142857,169.3571429,179,188.6428571
23,City of Diamond Bar ,198.1428571,206.5,214.8571429,223.2142857
24,City of Downey ,323.1428571,333.3928571,343.6428571,353.8928571
25,City of Duarte ,273.7142857,297.6785714,321.6428571,345.6071429
26,City of El Monte ,349.7142857,365.75,381.7857143,397.8214286
27,City of El Segundo ,87.28571429,89.21428571,91.14285714,93.07142857
28,City of Gardena ,172.4285714,182.7857143,193.1428571,203.5
29,City of Glendale ,256.7142857,262.2142857,267.7142857,273.2142857
30,City of Glendora ,241.7142857,257.3571429,273,288.6428571
31,City of Hawaiian Gardens ,346.8571429,372,397.1428571,422.2857143
32,City of Hawthorne ,237.4285714,246.8571429,256.2857143,265.7142857
33,City of Hermosa Beach ,176.1428571,182.1785714,188.2142857,194.25
34,City of Hidden Hills ,23.14285714,-23.96428571,-71.07142857,-118.1785714
35,City of Huntington Park ,432.2857143,455.8214286,479.3571429,502.8928571
36,City of Industry ,3693.857143,3612.071429,3530.285714,3448.5
37,City of Inglewood ,250.8571429,263.1428571,275.4285714,287.7142857
38,City of Irwindale ,136.5714286,114.5,92.42857143,70.35714286
39,City of La Canada Flintridge ,76,75.67857143,75.35714286,75.03571429
40,City of La Habra Heights ,-57.42857143,-88.21428571,-119,-149.7857143
41,City of La Mirada ,180.1428571,185.0357143,189.9285714,194.8214286
42,City of La Puente ,350.8571429,365.7857143,380.7142857,395.6428571
43,City of La Verne ,255,266.5714286,278.1428571,289.7142857
44,City of Lakewood ,136,139.9285714,143.8571429,147.7857143
45,City of Lancaster* ,476,495.2857143,514.5714286,533.8571429
46,City of Lawndale ,264.5714286,275.3214286,286.0714286,296.8214286
47,City of Lomita ,148.4285714,158.1071429,167.7857143,177.4642857
48,City of Lynwood* ,359.1428571,371.9285714,384.7142857,397.5
49,City of Malibu ,160.2857143,172.2857143,184.2857143,196.2857143
50,City of Manhattan Beach ,87.71428571,87.07142857,86.42857143,85.78571429
51,City of Maywood ,329.7142857,339.9285714,350.1428571,360.3571429
52,City of Monrovia ,229.7142857,236.2857143,242.8571429,249.4285714
53,City of Montebello ,407.5714286,420.0357143,432.5,444.9642857
54,City of Monterey Park ,160.1428571,169.9642857,179.7857143,189.6071429
55,City of Norwalk ,366.5714286,381.0357143,395.5,409.9642857
56,City of Palmdale ,547,564.7857143,582.5714286,600.3571429
57,City of Palos Verdes Estates ,80.28571429,85.57142857,90.85714286,96.14285714
58,City of Paramount ,383.8571429,404.0714286,424.2857143,444.5
59,City of Pico Rivera ,445.2857143,475.2857143,505.2857143,535.2857143
60,City of Pomona ,471.7142857,500.1071429,528.5,556.8928571
61,City of Rancho Palos Verdes ,60.14285714,60.71428571,61.28571429,61.85714286
62,City of Redondo Beach ,129,135.9642857,142.9285714,149.8928571
63,City of Rolling Hills ,0,0,0,0
64,City of Rolling Hills Estates ,98.85714286,104.1785714,109.5,114.8214286
65,City of Rosemead ,204.7142857,215.8214286,226.9285714,238.0357143
66,City of San Dimas* ,287.7142857,305.3571429,323,340.6428571
67,City of San Fernando ,650.5714286,678.25,705.9285714,733.6071429
68,City of San Gabriel ,305.5714286,334.75,363.9285714,393.1071429
69,City of San Marino ,28.57142857,28.67857143,28.78571429,28.89285714
70,City of Santa Clarita ,329.8571429,343.2857143,356.7142857,370.1428571
71,City of Santa Fe Springs ,239.4285714,248,256.5714286,265.1428571
72,City of Santa Monica ,213.2857143,228.8928571,244.5,260.1071429
73,City of Sierra Madre ,159.4285714,172.0714286,184.7142857,197.3571429
74,City of Signal Hill ,309.7142857,317.5,325.2857143,333.0714286
75,City of South El Monte ,445.1428571,457.9642857,470.7857143,483.6071429
76,City of South Gate ,397.8571429,413.8571429,429.8571429,445.8571429
77,City of South Pasadena ,129.7142857,141.0357143,152.3571429,163.6785714
78,City of Temple City ,111.1428571,115.9642857,120.7857143,125.6071429
79,City of Torrance ,100.8571429,106.1785714,111.5,116.8214286
80,City of Vernon ,1503.285714,1605.714286,1708.142857,1810.571429
81,City of Walnut ,191.2857143,203.2142857,215.1428571,227.0714286
82,City of West Covina ,261,274.0357143,287.0714286,300.1071429
83,City of West Hollywood ,332.1428571,347.7857143,363.4285714,379.0714286
84,City of Westlake Village ,49.71428571,48.85714286,48,47.14285714
85,City of Whittier ,377,397.5714286,418.1428571,438.7142857
87,Los Angeles - Adams-Normandie ,333.1428571,348.5,363.8571429,379.2142857
88,Los Angeles - Alsace ,503.4285714,533.9285714,564.4285714,594.9285714
89,Los Angeles - Angeles National Forest ,0,0,0,0
90,Los Angeles - Angelino Heights ,74.28571429,75.71428571,77.14285714,78.57142857
91,Los Angeles - Arleta ,716.2857143,740.6071429,764.9285714,789.25
92,Los Angeles - Atwater Village ,416.5714286,433.5,450.4285714,467.3571429
93,Los Angeles - Baldwin Hills ,194,200.2857143,206.5714286,212.8571429
94,Los Angeles - Bel Air ,88.57142857,94.57142857,100.5714286,106.5714286
95,Los Angeles - Beverly Crest ,167,168.1428571,169.2857143,170.4285714
96,Los Angeles - Beverlywood ,113,116.5357143,120.0714286,123.6071429
97,Los Angeles - Boyle Heights* ,559.7142857,583.3928571,607.0714286,630.75
98,Los Angeles - Brentwood ,234.1428571,246.5,258.8571429,271.2142857
100,Los Angeles - Cadillac-Corning ,267,274,281,288
101,Los Angeles - Canoga Park ,298.4285714,299.75,301.0714286,302.3928571
102,Los Angeles - Carthay ,198,205.25,212.5,219.75
103,Los Angeles - Central ,390.1428571,406.5357143,422.9285714,439.3214286
104,Los Angeles - Century City ,212.2857143,220.7142857,229.1428571,237.5714286
105,Los Angeles - Century Palms/Cove ,325.7142857,350.8214286,375.9285714,401.0357143
106,Los Angeles - Chatsworth ,235.2857143,246.1785714,257.0714286,267.9642857
107,Los Angeles - Cheviot Hills ,98.71428571,97.64285714,96.57142857,95.5
108,Los Angeles - Chinatown ,235.1428571,244.0357143,252.9285714,261.8214286
109,Los Angeles - Cloverdale/Cochran ,234.1428571,248.4285714,262.7142857,277
110,Los Angeles - Country Club Park ,159.4285714,167.25,175.0714286,182.8928571
111,Los Angeles - Crenshaw District ,267.7142857,284,300.2857143,316.5714286
112,Los Angeles - Crestview ,196.7142857,207.5357143,218.3571429,229.1785714
113,Los Angeles - Del Rey ,229.1428571,242.0714286,255,267.9285714
114,Los Angeles - Downtown* ,414.7142857,442.4642857,470.2142857,497.9642857
115,Los Angeles - Eagle Rock ,251,256.8571429,262.7142857,268.5714286
116,Los Angeles - East Hollywood ,275.7142857,287.3214286,298.9285714,310.5357143
117,Los Angeles - Echo Park ,363,373.5,384,394.5
118,Los Angeles - El Sereno ,361.2857143,380.4642857,399.6428571,418.8214286
119,Los Angeles - Elysian Park ,266.7142857,289.6785714,312.6428571,335.6071429
120,Los Angeles - Elysian Valley ,296.4285714,301,305.5714286,310.1428571
121,Los Angeles - Encino ,281,296.8928571,312.7857143,328.6785714
123,Los Angeles - Exposition Park ,299,310.1428571,321.2857143,332.4285714
124,Los Angeles - Faircrest Heights ,154.4285714,165.3214286,176.2142857,187.1071429
125,Los Angeles - Figueroa Park Square ,476.5714286,523.6071429,570.6428571,617.6785714
126,Los Angeles - Florence-Firestone ,405.4285714,420.5,435.5714286,450.6428571
127,Los Angeles - Glassell Park ,288,296.9285714,305.8571429,314.7857143
128,Los Angeles - Gramercy Place ,241.1428571,234.7857143,228.4285714,222.0714286
129,Los Angeles - Granada Hills ,316.2857143,327.5357143,338.7857143,350.0357143
130,Los Angeles - Green Meadows ,429.7142857,455.25,480.7857143,506.3214286
131,Los Angeles - Hancock Park ,197.1428571,197.4285714,197.7142857,198
132,Los Angeles - Harbor City ,96.71428571,94.78571429,92.85714286,90.92857143
133,Los Angeles - Harbor Gateway ,179.2857143,185.5,191.7142857,197.9285714
134,Los Angeles - Harbor Pines ,272.7142857,290.5,308.2857143,326.0714286
135,Los Angeles - Harvard Heights ,249,265.4642857,281.9285714,298.3928571
136,Los Angeles - Harvard Park ,361.4285714,372.7142857,384,395.2857143
137,Los Angeles - Highland Park ,340.1428571,360.7857143,381.4285714,402.0714286
138,Los Angeles - Historic Filipinotown ,280.7142857,293.1785714,305.6428571,318.1071429
139,Los Angeles - Hollywood ,294.8571429,313.8214286,332.7857143,351.75
140,Los Angeles - Hollywood Hills ,259,260.6428571,262.2857143,263.9285714
141,Los Angeles - Hyde Park ,184.7142857,184.6428571,184.5714286,184.5
142,Los Angeles - Jefferson Park ,341.5714286,353.5,365.4285714,377.3571429
143,Los Angeles - Koreatown ,240.7142857,250.7857143,260.8571429,270.9285714
144,Los Angeles - Lafayette Square ,278.7142857,290.5,302.2857143,314.0714286
145,Los Angeles - Lake Balboa ,323.7142857,331.7857143,339.8571429,347.9285714
146,Los Angeles - Lakeview Terrace ,520.7142857,525.5714286,530.4285714,535.2857143
147,Los Angeles - Leimert Park ,205.5714286,199.75,193.9285714,188.1071429
148,Los Angeles - Lincoln Heights ,393.1428571,413.7857143,434.4285714,455.0714286
149,Los Angeles - Little Armenia ,307,319.25,331.5,343.75
150,Los Angeles - Little Bangladesh ,177.7142857,184.75,191.7857143,198.8214286
151,Los Angeles - Little Tokyo ,214.8571429,232,249.1428571,266.2857143
152,Los Angeles - Longwood ,411.7142857,422.6071429,433.5,444.3928571
153,Los Angeles - Los Feliz ,192.4285714,200.0357143,207.6428571,215.25
154,Los Angeles - Manchester Square ,286.5714286,301.7142857,316.8571429,332
155,Los Angeles - Mandeville Canyon ,100.5714286,108.5714286,116.5714286,124.5714286
156,Los Angeles - Mar Vista ,153.4285714,163.2142857,173,182.7857143
157,Los Angeles - Marina Peninsula ,213.5714286,222.6071429,231.6428571,240.6785714
159,Los Angeles - Mid-city ,156.5714286,166.1428571,175.7142857,185.2857143
160,Los Angeles - Miracle Mile ,187.7142857,200.75,213.7857143,226.8214286
161,Los Angeles - Mission Hills ,506,476.4285714,446.8571429,417.2857143
163,Los Angeles - North Hills ,377.1428571,384.75,392.3571429,399.9642857
164,Los Angeles - North Hollywood ,397.8571429,412.2857143,426.7142857,441.1428571
165,Los Angeles - Northridge ,256.5714286,264.6428571,272.7142857,280.7857143
166,Los Angeles - Pacific Palisades ,110.8571429,110.3928571,109.9285714,109.4642857
167,Los Angeles - Pacoima ,668,678.9642857,689.9285714,700.8928571
168,Los Angeles - Palisades Highlands ,211.7142857,224.7142857,237.7142857,250.7142857
169,Los Angeles - Palms ,133,144.0714286,155.1428571,166.2142857
170,Los Angeles - Panorama City ,450.5714286,461.0357143,471.5,481.9642857
171,Los Angeles - Park La Brea ,150.4285714,157.2857143,164.1428571,171
172,Los Angeles - Pico-Union ,275.7142857,289.5714286,303.4285714,317.2857143
173,Los Angeles - Playa Del Rey ,353.7142857,390.6428571,427.5714286,464.5
174,Los Angeles - Playa Vista ,179.4285714,188.75,198.0714286,207.3928571
